安全,an1quan2,safe;secure;safety;security
关键,guan1jian4,crucial point;crux;CL:個|个[ge4];key;crucial;pivotal
广播,guang3bo1,broadcast;widely spread;CL:個|个[ge4]
国际,guo2ji4,international
害羞,hai4xiu1,blush;shy
好处,hao3chu,benefit;advantage;gain;profit;also pronounced hao3 chu4;CL:個|个[ge4]
合适,he2shi4,suitable;fitting;decent;to fit
后悔,hou4hui3,to regret;to repent
互相,hu4xiang1,each other;mutually;mutual
活动,huo2dong4,to exercise;to move about;to operate;activity;loose;shaky;active;movable;maneuver;to use connections;CL:項|项[xiang4],個|个[ge4]
基础,ji1chu3,base;foundation;basis;underlying;CL:個|个[ge4]
集合,ji2he2,a congregation;to gather;a set
寄,ji4,to live (in a house);to lodge;to mail;to send;to entrust;to depend
继续,ji4xu4,to continue;to proceed with;to go on with
加油站,jia1you2zhan4,gas station
减肥,jian3fei2,to lose weight
降低,jiang4di1,to reduce;to lower;to bring down
交通,jiao1tong1,to be connected;traffic;communications;liaison
接受,jie1shou4,to accept;to receive
紧张,jin3zhang1,nervous;keyed up;intense;tense;strained;in short supply;scarce;CL:陣|阵[zhen4]
经济,jing1ji4,economy;economic
经验,jing1yan4,to experience;experience
镜子,jing4zi,mirror;CL:面[mian4],個|个[ge4]
距离,ju4li2,distance;to be apart;CL:個|个[ge4]
棵,ke1,classifier for trees, cabbages, plants etc
可是,ke3shi4,but;however
恐怕,kong3pa4,fear;to dread;I'm afraid that...;perhaps;maybe
困难,kun4nan,(financial etc) difficulty;problem;issue;CL:個|个[ge4]
辣,la4,hot (spicy);pungent
浪费,lang4fei4,to waste;to squander
理发,li3fa4,a barber;hairdressing
厉害,li4hai,difficult to deal with;difficult to endure;ferocious;radical;serious;terrible;violent;tremendous;awesome
连,lian2,to link;to join;to connect;continuously;in succession;including;(used with 也, 都 etc) even;company (military)
聊天,liao2tian1,to chat;to gossip
流利,liu2li4,fluent
律师,lv4shi1,lawyer
毛巾,mao2jin1,towel;CL:條|条[tiao2]
免费,mian3fei4,free (of charge)
耐心,nai4xin1,patient (adjective)
内容,nei4rong2,content;substance;details;CL:個|个[ge4],項|项[xiang4]
弄,nong4,to do;to manage;to handle;to play with;to fool with;to mess with;to fix;to toy with
判断,pan4duan4,to decide;to determine;CL:個|个[ge4]
篇,pian1,sheet;piece of writing;bound set of bamboo slips used for record keeping (old);classifier for written items: chapter, article
瓶子,ping2zi,bottle;CL:個|个[ge4]
其中,qi2zhong1,among;in;included among these
签证,qian1zheng4,visa;certificate;to certify;CL:個|个[ge4]
巧克力,qiao3ke4li4,chocolate (loanword);CL:塊|块[kuai4]
情况,qing2kuang4,circumstances;state of affairs;situation;CL:個|个[ge4],種|种[zhong3]
区别,qu1bie2,difference;to distinguish;to discriminate;to make a distinction;CL:個|个[ge4]
缺少,que1shao3,lack;shortage of;shortfall;to be short (of);to lack
然而,ran2er2,however;yet;but
任务,ren4wu,mission;assignment;task;duty;role;CL:項|项[xiang4],個|个[ge4]
入口,ru4kou3,entrance
沙发,sha1fa1,sofa;CL:條|条[tiao2],張|张[zhang1]
社会,she4hui4,society;CL:個|个[ge4]
生活,sheng1huo2,life;activity;to live;livelihood
失败,shi1bai4,to be defeated;to lose;to fail (e.g. experiments);failure;defeat;CL:次[ci4]
十分,shi2fen1,to divide into ten equal parts;very;hundred percent;completely;extremely;utterly;absolutely
使用,shi3yong4,to use;to employ;to apply;to make use of
世纪,shi4ji4,century;CL:個|个[ge4]
收拾,shou1shi,to put in order;to tidy up;to pack;to repair;to punish (colloquial);to manage
售货员,shou4huo4yuan2,salesperson;CL:個|个[ge4]
数字,shu4zi4,numeral;digit;number;figure;amount;digital (electronics etc);CL:個|个[ge4]
顺序,shun4xu4,sequence;order
速度,su4du4,speed;rate;velocity;CL:個|个[ge4]
随便,sui2bian4,as one wishes;as one pleases;at random;negligent;casual;wanton
抬,tai2,to lift;to raise;(of two or more persons) to carry
汤,tang1,soup;broth;hot water
特点,te4dian3,characteristic (feature);trait;feature;CL:個|个[ge4]
填空,tian2kong4,to fill a job vacancy;to fill in a blank (e.g. on questionnaire or exam paper)
通过,tong1guo4,by means of;through;via;to pass through;to get through;to adopt;to pass (a bill);to switch over
推迟,tui1chi2,to postpone;to put off;to defer
往,wang3,to go (in a direction);to;towards;(of a train) bound for;past;previous
危险,wei1xian3,danger;dangerous
握手,wo4shou3,to shake hands
无论,wu2lun4,no matter what or how;regardless of whether...
洗衣机,xi3yi1ji1,washer;washing machine;CL:臺|台[tai2]
限制,xian4zhi4,to restrict;to limit;to confine;restriction;limit;CL:個|个[ge4]
响,xiang3,to make a sound;to sound;to ring;loud;classifier for noises
笑话,xiao4hua4,joke;jest;CL:個|个[ge4]
信心,xin4xin1,confidence;faith (in sb or sth);CL:個|个[ge4]
醒,xing3,to wake up;to awaken;to be awake
修,xiu1,to mend;to repair;to build;to embellish;to study
牙膏,ya2gao1,toothpaste;CL:管[guan3]
严格,yan2ge2,strict;stringent;tight;rigorous
演员,yan3yuan2,actor or actress;performer;CL:個|个[ge4],位[wei4],名[ming2]
邀请,yao1qing3,to invite;invitation;CL:個|个[ge4]
叶子,ye4zi,foliage;leaf;CL:片[pian4]
意见,yi4jian4,idea;opinion;suggestion;objection;complaint;CL:點|点[dian3],條|条[tiao2]
引起,yin3qi3,to give rise to;to lead to;to cause;to arouse
勇敢,yong3gan3,brave;courageous
优秀,you1xiu4,outstanding;excellent
友好,you3hao3,friendly;amicable
于是,yu2shi4,thereupon;as a result;consequently;thus;hence
预习,yu4xi2,to prepare a lesson
原因,yuan2yin1,cause;origin;root cause;reason;CL:個|个[ge4]
杂志,za2zhi4,magazine;CL:本[ben3],份[fen4],期[qi1]
增加,zeng1jia1,to raise;to increase
真正,zhen1zheng4,genuine;real;true;genuinely
正好,zheng4hao3,just (in time);just right;just enough;to happen to;to chance to;by chance;it just so happens that
之,zhi1,(possessive particle, literary equivalent of 的);him;her;it
值得,zhi2de,to be worth;to deserve
指,zhi3,finger;to point at or to;to indicate or refer to;to depend on;to count on;(of hair) to stand on end
至少,zhi4shao3,at least;(to say the) least
重视,zhong4shi4,to attach importance to sth;to value
主动,zhu3dong4,to take the initiative;to do sth of one's own accord;active;opposite: passive 被動|被动[bei4 dong4];drive (of gears and shafts etc)
专门,zhuan1men2,specialist;specialized;customized
准确,zhun3que4,accurate;exact;precise
总结,zong3jie2,to sum up;to conclude;summary;resume;CL:個|个[ge4]
嘴,zui3,mouth;beak;spout (of teapot etc);CL:張|张[zhang1],個|个[ge4]
座,zuo4,seat;base;stand;CL:個|个[ge4];classifier for buildings, mountains and similar immovable objects
