安装,an1zhuang1,install;erect;fix;mount;installation
忍不住,ren3buzhu4,cannot help;unable to bear
如何,ru2he2,how;what way;what
傻,sha3,foolish
上当,shang4dang4,taken in (by sb's deceit);to be fooled;to be duped
摄影,she4ying3,to take a photograph;photography;to shoot (a movie)
生产,sheng1chan3,childbirth;parturition;to produce;manufacture
失业,shi1ye4,unemployment
食物,shi2wu4,food;CL:種|种[zhong3]
似的,shi4de,seems as if;rather like;
手工,shou3gong1,handwork;manual
书架,shu1jia4,bookshelf;CL:個|个[ge4]
摔,shuai1,to throw down;to fall;to drop and break
思考,si1kao3,to reflect on;to ponder over
损失,sun3shi1,loss;damage;CL:個|个[ge4];to lose;to damage
太太,tai4tai,married woman;Mrs.;Madam;wife;CL:個|个[ge4],位[wei4]
特殊,te4shu1,special;particular;unusual;extraordinary
体会,ti3hui4,know (through learning or by experience);CL:個|个[ge4]
调整,tiao2zheng3,adjustment;revision;CL:個|个[ge4]
痛快,tong4kuai4,overjoyed;delighted;happily;heartily;enjoying;also pr. tong4 kuai5
推辞,tui1ci2,to decline (an appointment, invitation etc)
玩具,wan2ju4,plaything;toy
威胁,wei1xie2,to threaten;to menace
委托,wei3tuo1,to entrust;to trust;to commission
闻,wen2,to hear;news;well-known;famous;reputation;fame;to smell;to sniff at;surname Wen
屋子,wu1zi,house;room;CL:間|间[jian1]
系,xi4,to connect;to relate to;to tie up;to bind;to be (literary)
显然,xian3ran2,clear;evident;obvious(ly)
相关,xiang1guan1,interrelated;correlation;dependence;relevance;mutuality
橡皮,xiang4pi2,rubber;an eraser;CL:塊|块[kuai4]
小伙子,xiao3huo3zi,lad;young fellow;youngster;CL:個|个[ge4]
心脏,xin1zang4,heart;CL:顆|颗[ke1],個|个[ge4]
形式,xing2shi4,form;shape;situation;circumstance;CL:個|个[ge4]
雄伟,xiong2wei3,grand;imposing;magnificent;majestic
学术,xue2shu4,learning;science;academic;CL:個|个[ge4]
阳台,yang2tai2,balcony;porch
液体,ye4ti3,liquid
遗憾,yi2han4,regret;pity;sorry
意义,yi4yi4,meaning;significance;CL:個|个[ge4]
影子,ying3zi,shadow;reflection;CL:個|个[ge4]
用途,yong4tu2,use;application
有利,you3li4,advantageous;to have advantages;favorable
预防,yu4fang2,to prevent;to take precautions against;to protect;to guard against;precautionary;prophylactic
运输,yun4shu1,transport;haulage;transit;CL:個|个[ge4]
则,ze2,conjunction used to express contrast with a previous sentence or clause;standard;norm;rule;to imitate;to follow;then;principle;classifier for written items (such as an official statement)
掌握,zhang3wo4,to grasp (often fig.);to master;to know well;to understand sth well and know how to use it;fluency;to control;to seize (initiative, opportunity, destiny)
真实,zhen1shi2,true;real
争取,zheng1qu3,to fight for;to strive for;to win over
政治,zheng4zhi4,politics;political
制定,zhi4ding4,to draw up;to formulate
钟,zhong1,clock;o'clock;time as measured in hours and minutes;bell;CL:架[jia4],座[zuo4]
煮,zhu3,to cook;to boil
抓紧,zhua1jin3,to grasp firmly;to pay special attention to;to rush in;to make the most of
追求,zhui1qiu2,to pursue (a goal etc) stubbornly;to seek after;to woo
自动,zi4dong4,automatic;voluntarily
宗教,zong1jiao4,religion
祖先,zu3xian1,ancestor;forebears
作文,zuo4wen2,to write an essay;composition (student essay);CL:篇[pian1]
