安详,an1xiang2,serene
调剂,tiao2ji4,to adjust;to balance;to make up a medical prescription
通用,tong1yong4,common (use);interchangeable
涂抹,tu2mo3,to paint;to smear;to doodle
椭圆,tuo3yuan2,oval;ellipse;elliptic
玩意儿,wan2yi4r,toy;plaything;thing;act;trick (in a performance, stage show, acrobatics etc)
维持,wei2chi2,to keep;to maintain;to preserve
文凭,wen2ping2,diploma
无可奉告,wu2ke3feng4gao4,(idiom) no comment
物美价廉,wu4mei3jia4lian2,cheap and fine;attractive in price and quality
系列,xi4lie4,series
衔接,xian2jie1,to join together;to combine
想方设法,xiang3fang1she4fa3,to think up every possible method (idiom);to devise ways and means;to try this, that and the other
肖像,xiao4xiang4,portrait
辛勤,xin1qin2,hardworking;industrious
刑事,xing2shi4,criminal;penal
修理,xiu1li3,to repair;to perform maintenance;to overhaul;to fix;to prune;to trim
悬念,xuan2nian4,suspense in a movie, play etc;concern for sb's welfare
压迫,ya1po4,to oppress;to repress;to constrict;oppression;stress (physics)
炎热,yan2re4,blistering hot;sizzling hot (weather)
厌恶,yan4wu4,to loath;to hate;disgusted with sth
野心,ye3xin1,ambition;wild schemes;careerism
一向,yi1xiang4,all along;the whole time;constantly;earlier;lately
毅力,yi4li4,perseverance;willpower
隐私,yin3si1,secrets;sth one hopes to conceal
勇于,yong3yu2,to dare to;to be brave enough to
愚昧,yu2mei4,ignorant;uneducated
原告,yuan2gao4,complainant;plaintiff
孕育,yun4yu4,to be pregnant;to produce offspring;to nurture (a development, school of thought, artwork etc);fig. replete with (culture etc)
遭受,zao1shou4,to suffer;to sustain (loss, misfortune)
债券,zhai4quan4,bond;debenture
障碍,zhang4ai4,barrier;obstruction;hindrance;impediment;obstacle
珍稀,zhen1xi1,rare;precious and uncommon
争气,zheng1qi4,to work hard for sth;to resolve on improvement;determined not to fall short
症状,zheng4zhuang4,symptom (of an illness)
指标,zhi3biao1,norm;index;target
智能,zhi4neng2,intelligent;able;smart (phone, system, bomb etc)
肿瘤,zhong3liu2,tumor
诸位,zhu1wei4,(pron) everyone;Ladies and Gentlemen;Sirs
注重,zhu4zhong4,to pay attention to;to emphasize
庄重,zhuang1zhong4,grave;solemn;dignified
滋味,zi1wei4,taste;flavor;feeling
走漏,zou3lou4,to leak (of information, liquid etc);to divulge
做东,zuo4dong1,to act as host
