暧昧,ai4mei4,vague;ambiguous;equivocal;dubious
签订,qian1ding4,to agree to and sign (a treaty etc)
桥梁,qiao2liang2,bridge;fig. connection between two areas
倾听,qing1ting1,to listen attentively
屈服,qu1fu2,to surrender;to yield
缺席,que1xi2,absence;absent
人格,ren2ge2,personality;integrity;dignity
日新月异,ri4xin1yue4yi4,daily renewal, monthly change (idiom);every day sees new developments;rapid progress
丧失,sang4shi1,to lose;to forfeit
上游,shang4you2,upper reaches;advanced position
呻吟,shen1yin2,to moan;to groan
生理,sheng1li3,physiology
施加,shi1jia1,to exert (effort or pressure)
实事求是,shi2shi4qiu2shi4,to seek truth from facts (idiom);to be practical and realistic
逝世,shi4shi4,to pass away;to die
守护,shou3hu4,to guard;to protect
树立,shu4li4,to set up;to establish
斯文,si1wen,refined;educate;cultured;intellectual;polite;gentle
算数,suan4shu4,to count numbers;to keep to one's word;to hold (i.e. to remain valid);to count (i.e. to be important)
摊儿,tan1r,street vendor's stall or stand
特定,te4ding4,special;specific;designated;particular
舔,tian3,to lick;to lap
挺拔,ting3ba2,tall and straight
图案,tu2an4,design;pattern
妥当,tuo3dang,appropriate;proper;ready
顽固,wan2gu4,stubborn;obstinate
威望,wei1wang4,prestige
位于,wei4yu2,to be located at;to be situated at;to lie
无动于衷,wu2dong4yu2zhong1,aloof;indifferent;unconcerned
务必,wu4bi4,must;to need to;to be sure to
喜悦,xi3yue4,happy;joyous
嫌,xian2,to dislike;suspicion;resentment;enmity;abbr. for 嫌犯|嫌犯[xian2 fan4], criminal suspect
镶嵌,xiang1qian4,to inlay;to embed;to set (e.g. a jewel in a ring);tiling;tesselation
小气,xiao3qi,stingy;petty;miserly;narrow-minded
新郎,xin1lang2,bridegroom;groom
兴高采烈,xing1gao1cai3lie4,happy and excited (idiom);in high spirits;in great delight
羞耻,xiu1chi3,(a feeling of) shame
宣扬,xuan1yang2,to proclaim;to make public or well known
寻觅,xun2mi4,to look for
言论,yan2lun4,speech;expression of opinion;public opinion
演绎,yan3yi4,to deduce;to infer
要素,yao4su4,essential factor;key constituent
衣裳,yi1shang,clothes
亦,yi4,also
隐瞒,yin3man2,to conceal;to hide (a taboo subject);to cover up the truth
拥有,yong1you3,to have;to possess
幼稚,you4zhi4,young;childish;naive
寓言,yu4yan2,fable;CL:則|则[ze2]
酝酿,yun4niang4,(of alcohol) to ferment;(of a crisis) to be brewing;to mull over (an issue);to hold exploratory discussions
赞同,zan4tong2,to approve of;to endorse;(vote) in favor;trad. also written 贊同
眨,zha3,wink
占有,zhan4you3,to have;to own;to hold;to possess
折磨,zhe2mo2,to persecute;to torment
争夺,zheng1duo2,fight over;contest;vie over
证书,zheng4shu1,credentials;certificate
职能,zhi2neng2,function;role
智力,zhi4li4,intelligence;intellect
衷心,zhong1xin1,heartfelt;wholehearted;cordial
皱纹,zhou4wen2,wrinkle;CL:道[dao4]
铸造,zhu4zao4,to cast (pour metal into a mold)
装备,zhuang1bei4,equipment;to equip;to outfit
资产,zi1chan3,property;assets
总和,zong3he2,sum
尊严,zun1yan2,dignity;sanctity;honor;majesty
