暗示,an4shi4,to hint;to suggest;suggestion;a hint
推测,tui1ce4,speculation;to conjecture;to surmise;to speculate
哇,wa,Wow!;sound of child's crying
往常,wang3chang2,habitually in the past;as one used to do formerly;as it used to be
为首,wei2shou3,head;be headed by
问世,wen4shi4,to be published;to come out
无穷无尽,wu2qiong2wu2jin4,vast and limitless (idiom);endless span of time;no vestige of a beginning, no prospect of an end
熄灭,xi1mie4,to stop burning;to go out (of fire);to die out;extinguished
狭窄,xia2zhai3,narrow
宪法,xian4fa3,constitution (of a country)
向导,xiang4dao3,guide
协议,xie2yi4,agreement;pact;protocol;CL:項|项[xiang4]
欣欣向荣,xin1xin1xiang4rong2,luxuriant growth (idiom);flourishing;thriving
性命,xing4ming4,life
需求,xu1qiu2,requirement;demand (economics)
削弱,xue1ruo4,to weaken
压制,ya1zhi4,to suppress;to inhibit;to stifle
掩盖,yan3gai4,to conceal;to hide behind;to cover up
摇滚,yao2gun3,to shake and boil;rock and roll (music)
依旧,yi1jiu4,as before;still
遗留,yi2liu2,(leave or be a) legacy;left over;hand down (to next generation)
意味着,yi4wei4zhe,to signify;to mean;to imply
英明,ying1ming2,wise;brilliant
优先,you1xian1,priority
愈,yu4,heal;the more...the more;to recover;better
原始,yuan2shi3,first;original;primitive;original (document etc)
灾难,zai1nan4,disaster;catastrophe
造型,zao4xing2,modeling;mold-making;model or mold;molding
展望,zhan3wang4,outlook;prospect;to look ahead;to look forward to
着迷,zhao2mi2,to be fascinated;to be captivated
阵地,zhen4di4,position;front
挣扎,zheng1zha2,to struggle;struggling
知觉,zhi1jue2,perception;consciousness
指示,zhi3shi4,to point out;to indicate;to instruct;directives;instructions;CL:個|个[ge4]
制止,zhi4zhi3,to curb;to put a stop to;to stop;to check;to limit
州,zhou1,prefecture;state (e.g. of US);province (old);administrative division (old)
主管,zhu3guan3,in charge;responsible for
专科,zhuan1ke1,specialized subject;branch (of medicine);specialized training school
追悼,zhui1dao4,mourning;memorial (service etc)
自发,zi4fa1,spontaneous
组,zu3,to form;to organize;class;section
做主,zuo4zhu3,make the decision;take charge of;back up;support;be host
